ac_name,ac_no,district,winning_cand,party,Governor,Chief Minister,,,
Dr.Radhakrishnan Nagar,11,Chennai,Ebenezer. J.J. (@) JOHN EBENEZER.J,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Perambur,12,Chennai,Shekar. R.D,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kolathur,13,Chennai,M.K. Stalin,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Villivakkam,14,Chennai,A . Vetriazhagan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiru-Vi-Ka-Nagar,15,Chennai,Sivakumar.P,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Egmore,16,Chennai,I.Paranthamen,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Royapuram,17,Chennai,Murthy.R.Idream,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Harbour,18,Chennai,Sekarbabu. P.K,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Chepauk-Thiruvallikeni,19,Chennai,Udhayanidhi Stalin,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thousand Lights,20,Chennai,Ezhilan N,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Anna Nagar,21,Chennai,M.K. Mohan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Virugampakkam,22,Chennai,Amv.Prabhakara Raja,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Saidapet,23,Chennai,Subramanian. Ma,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiyagarayanagar,24,Chennai,Karunanithi J,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Mylapore,25,Chennai,Velu.Dha,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Velachery,26,Chennai,Jmh.Aassan Maulaana,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Mettuppalayam,111,Coimbatore,Selvaraj A K,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Avanashi,112,Coimbatore,"Dhanapal, P",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruppur (North),113,Coimbatore,Vijeyakumar.K.N,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruppur (South),114,Coimbatore,Selvaraj. K.,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Palladam,115,Coimbatore,Anandan M S M,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sulur,116,Coimbatore,Kandasamy V.P.,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kavundampalayam,117,Coimbatore,G.Arunkumar,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
