ac_name,ac_no,district,winning_cand,MLA_Party,Panchayat_Union (Ooratchi),Ward_Name,Ward_Member_Name,Ward_Member_Party,Governor,Chief Minister
Erode (East),98,Erode,"Thirumahan Everaa,e.",Indian National Congress,Erode Panchayat Union,Ward 1 - Krishnapuram,Selvaraj K,DMK,R. N. Ravi,M.K. Stalin
Erode (East),98,Erode,"Thirumahan Everaa,e.",Indian National Congress,Erode Panchayat Union,Ward 2 - Anna Nagar,Parimala S,DMK,R. N. Ravi,M.K. Stalin
Erode (East),98,Erode,"Thirumahan Everaa,e.",Indian National Congress,Erode Panchayat Union,Ward 3 - Veerappanchatram,Muthukumar R,DMK,R. N. Ravi,M.K. Stalin
Erode (East),98,Erode,"Thirumahan Everaa,e.",Indian National Congress,Erode Panchayat Union,Ward 4 - Nethaji Nagar,Subbulakshmi D,INC,R. N. Ravi,M.K. Stalin
Erode (West),99,Erode,Muthusamy S,Dravida Munetra Kazhagam,Erode Panchayat Union,Ward 5 - Rangampalayam,Kandaswamy T,DMK,R. N. Ravi,M.K. Stalin
Erode (West),99,Erode,Muthusamy S,Dravida Munetra Kazhagam,Erode Panchayat Union,Ward 6 - Kaveri Nagar,Rathidevi M,DMK,R. N. Ravi,M.K. Stalin
Erode (West),99,Erode,Muthusamy S,Dravida Munetra Kazhagam,Surampatti Panchayat Union,Ward 1 - Surampatti,Ganesan P,AIADMK,R. N. Ravi,M.K. Stalin
Erode (West),99,Erode,Muthusamy S,Dravida Munetra Kazhagam,Surampatti Panchayat Union,Ward 2 - Kondayampallam,Malathi V,DMK,R. N. Ravi,M.K. Stalin
Modakkurichi,100,Erode,Saraswathi.C,Bharatiya Janta Party,Modakkurichi Panchayat Union,Ward 1 - Modakkurichi North,Venkatesan A,DMK,R. N. Ravi,M.K. Stalin
Modakkurichi,100,Erode,Saraswathi.C,Bharatiya Janta Party,Modakkurichi Panchayat Union,Ward 2 - Odappalli,Kavitha R,DMK,R. N. Ravi,M.K. Stalin
Modakkurichi,100,Erode,Saraswathi.C,Bharatiya Janta Party,Modakkurichi Panchayat Union,Ward 3 - Ingur,Murugesan S,AIADMK,R. N. Ravi,M.K. Stalin
Modakkurichi,100,Erode,Saraswathi.C,Bharatiya Janta Party,Modakkurichi Panchayat Union,Ward 4 - Thippampatti,Jayanthi K,DMK,R. N. Ravi,M.K. Stalin
