Problem_Name,Problem_Category,Ministry,Minister_Name,Days_To_Complete
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,10
Government housing delay,housing,minister for housing and urban development,S Muthusamy,6
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,8
Government housing delay,housing,minister for housing and urban development,S Muthusamy,6
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,2
Government housing delay,housing,minister for housing and urban development,S Muthusamy,2
Government housing delay,housing,minister for housing and urban development,S Muthusamy,8
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,6
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,9
Government housing delay,housing,minister for housing and urban development,S Muthusamy,3
Government housing delay,housing,minister for housing and urban development,S Muthusamy,7
Government housing delay,housing,minister for housing and urban development,S Muthusamy,2
Government housing delay,housing,minister for housing and urban development,S Muthusamy,5
Government housing delay,housing,minister for housing and urban development,S Muthusamy,11
Government housing delay,housing,minister for housing and urban development,S Muthusamy,11
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,8
Government housing delay,housing,minister for housing and urban development,S Muthusamy,4
Government housing delay,housing,minister for housing and urban development,S Muthusamy,3
Government housing delay,housing,minister for housing and urban development,S Muthusamy,9
Government housing delay,housing,minister for housing and urban development,S Muthusamy,7
Government housing delay,housing,minister for housing and urban development,S Muthusamy,6
Government housing delay,housing,minister for housing and urban development,S Muthusamy,9
Government housing delay,housing,minister for housing and urban development,S Muthusamy,3
Government housing delay,housing,minister for housing and urban development,S Muthusamy,3
Government housing delay,housing,minister for housing and urban development,S Muthusamy,11
Government housing delay,housing,minister for housing and urban development,S Muthusamy,7
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,15
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,11
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,16
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,12
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,14
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,12
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,14
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,18
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,15
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,20
