Minister_Name,Ministry,Responsibilities
M K Stalin,chief minister,"public, general administration, IAS, IPS, police, home, special initiatives"
S Duraimurugan,minister for water resources,"irrigation, elections, passports, minerals and mines"
K N Nehru,minister for municipal administration,"municipal administration, urban and water supply"
I Periasamy,minister for cooperation,"cooperation, statistics, ex-servicemen welfare"
K Ponmudi,minister for higher education,"higher education, electronics, science and technology"
E V Velu,minister for public works,"public works, highways, minor ports"
MRK Panneerselvam,minister for agriculture and farmer's welfare,"agriculture, horticulture, sugarcane development"
KKSSR Ramachandran,minister for revenue and disaster management,"revenue, disaster management"
Thangam Thennarasu,minister for industries,"industries, Tamil culture, archaeology"
S Raghupathy,minister for law,"law, courts, prisons"
S Muthusamy,minister for housing and urban development,"housing, town planning, urban development"
K R Periakaruppan,minister for rural development,"rural development, panchayats"
T M Anbarasan,minister for rural industries,"rural industries, cottage industries"
M P Saminathan,minister for information and publicity,"information and publicity, government press"
P Geetha Jeevan,minister for social welfare and women empowerment,"women welfare, child welfare"
Anitha S Radhakrishnan,minister for fisheries-fishermen welfare and animal husbandry,"fisheries, animal husbandry"
SR Rajakannappan,minister for transport,"transport, motor vehicles"
K Ramchandran,minister for forests,forests
R Sakkarapani,minister for food and civil supplies,"food, civil supplies, consumer protection"
V Senthilbalaji,"minister for electricity, prohibition and excise","electricity, energy, prohibition"
R Gandhi,minister for handlooms and textiles,"handlooms, textiles, village industries"
Ma Subramanian,minister for medical and family welfare,"health, medical"
P Moorthy,minister for commercial taxes and registration,"commercial taxes, registration"
SS Sivasankar,minister for backward classes welfare,backward classes welfare
PK Sekarbabu,minister for Hindu religious and charitable endowments,Hindu religious endowments
Palanivel Thiagarajan,minister for finance and human resources management,"finance, planning, pensions"
SM Nasar,minister for milk and dairy development,milk and dairy development
Ginjee K S Masthan,minister for minorities welfare and non-resident Tamils welfare,"minorities welfare, refugees"
Anbil Mahesh Poyyamozhi,minister for school education,school education
Siva V Meyyanathan,minister for environment-climate change and youth welfare and sports development,"environment, sports development"
C V Ganesan,minister for labour welfare and skill development,"labour welfare, employment"
T Mano Thangaraj,minister for information technology,information technology
M Mathiventhan,minister for tourism,tourism development
N Kayalvizhi Selvaraj,minister for adi dravidar welfare,"adi dravidar welfare, hill tribes"
